title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,sell_through_rate,demand_tier,revenue_proxy_usd,log_sold,log_revenue_proxy,sqrt_available,resolution_class,has_night_vision,has_color_night,has_wide_angle,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score
"Lorex N844A82 4K 8-Channel 2TB NVR, Smart Motion, Voice Control, Fusion (M.Ref)",Lorex,N844A82,0695529036816,Monitor/Display,Uncategorized,Lorex,Prosumer,Excellent Refurbished,3,259.99,,0.0,0.0,0,Premium ($200–$500),5.564482,32.5,11.0,332.0,0.0321,Medium Demand,2859.89,2.484907,7.958888,18.2209,4K,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,8.0,1,2,31.13,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,2.0,99.5
2/4PK Solar Camera Outdoor Wireless Solar Security Camera System 4MP WiFi iP Cam,Xvim/Woolink,N1060WH/BK-4,,Camera,Security Cameras,Other/Generic,Other Brand,New,5,69.99,,0.0,0.0,0,Value ($25–$75),4.262539,,10.0,10.0,0.5,Low Demand,699.9,2.397895,6.552365,3.1623,4MP,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,4,2,49.1,Seller_2,Rockaway,NJ,United States,162,59,0.733,0,11.0,97.0
Reolink Argus PT Ultra 4K 8MP Battery Solar Security Camera WiFi 360° Pan Tilt,Reolink,,,Solar/Battery Camera,Security Cameras,Reolink,Prosumer,New,5,129.99,,0.0,0.0,0,Mid-Range ($75–$200),4.875121,,155.0,50.0,0.7561,Medium Demand,20148.45,5.049856,9.910932,7.0711,4K,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,60.09,Seller_3,Houston,Texas,United States,1,28,0.0345,1,2.0,99.5
4MP Wireless Solar Power Camera Outdoor Wifi Battery Pan/Tilt Securty Camera,Woolink,N1060WH-1/4P,,Camera,Security Cameras,Other/Generic,Value,New,5,139.99,,0.0,0.0,0,Mid-Range ($75–$200),4.948689,,9.0,10.0,0.4737,Low Demand,1259.91,2.302585,7.139589,3.1623,4MP,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,3,48.8,Seller_2,Rockaway,NJ,United States,162,59,0.733,0,2.0,99.5
eufy Floodlight Camera E340 Security Camera 3K Dual Camera Color Night Vision,Eufy,AKT8425,194644179267,Camera,Security Cameras,Eufy (Anker),Premium Consumer,Certified Refurbished,3,146.0,219.99,33.63,73.99,1,Mid-Range ($75–$200),4.990433,,1830.0,315.0,0.8531,Viral (Top 5%),267180.0,7.512618,12.495682,17.7482,3MP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,2,74.06,Seller_4,Ontario,CA,United States,162,24,0.871,0,2.0,99.5
Ring Floodlight Cam Pro 4K (Newest Model) Wired | 2nd gen | Sealed | White,Ring,,,Floodlight Camera,Security Cameras,Ring (Amazon),Premium Consumer,New,5,159.99,,0.0,0.0,0,Mid-Range ($75–$200),5.081342,,69.0,10.0,0.8734,Medium Demand,11039.31,4.248495,9.309308,3.1623,4K,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,64.7,Seller_5,Frisco,TX,United States,162,19,0.895,0,3.0,99.2
Ring Wired Doorbell Pro 4K (Newest Model) | 3rd Gen | Sealed,Ring,B0F151GFYR,840414665354,Doorbell Camera,Security Cameras,Ring (Amazon),Premium Consumer,New,5,144.99,,0.0,0.0,0,Mid-Range ($75–$200),4.983538,,35.0,10.0,0.7778,Medium Demand,5074.65,3.583519,8.53221,3.1623,4K,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,60.87,Seller_5,Frisco,TX,United States,162,19,0.895,0,3.0,99.2
Ring Outdoor Camera Battery Smart Security Camera with 2-Way Talk,Smartsecurity,,840268905552,Camera,Security Cameras,Ring (Amazon),Other Brand,New,5,39.95,,0.0,0.0,0,Value ($25–$75),3.712352,,9.0,1.0,0.9,Low Demand,359.55,2.302585,5.887631,1.0,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,1,1,36.0,Seller_6,Chatsworth,California,United States,1,27,0.0357,1,,
Security Camera Cable BNC Extension Power Cord CCTV Surveillance DVR Wire - lot,Lorex,906908 906909 906910 906911 906912,,Cable/Accessory,Accessories,Other/Generic,Prosumer,New,5,10.59,,0.0,0.0,0,Budget (<$25),2.450143,,4006.0,10.0,0.9975,Viral (Top 5%),42423.54,8.295798,10.655482,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,55.11,Seller_7,Deer Park,NY,United States,168,11,0.9385,0,180.0,50.7
2 Pack Wireless 5G WiFi Security Camera System Smart Outdoor Night Vision 1080P,Unknown,,,Camera,Security Cameras,Other/Generic,Generic/Unknown,New,5,29.99,,0.0,0.0,0,Value ($25–$75),3.433665,,117.0,3.0,0.975,Medium Demand,3508.83,4.770685,8.163323,1.7321,1080P,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,2,2,68.85,Seller_8,Hudson,Wisconsin,United States,1,27,0.0357,1,2.0,99.5
